District,Province,Total Population,Male,Female
Mayange,Western Province,54084,27433,26651
Mbazi,Eastern Province,48318,22978,25340
Mbogo,Southern Province,19101,9070,10031
Mbuye,Eastern Province,45747,22111,23636
Mimuri,Western Province,34373,16490,17883
Minazi,Southern Province,14193,6729,7464
Miyove,Southern Province,20223,9510,10713
Mpanga,Western Province,40173,19480,20693
Mubuga,Northern Province,23455,11144,12311
Mudende,Northern Province,32077,15253,16824
Mugano,Eastern Province,19738,9412,10326
Muganza,Eastern Province,57913,27559,30354
Muganza,Northern Province,32849,15608,17241
Mugesera,Western Province,28637,13624,15013
Mugina,Eastern Province,45894,21913,23981
Mugombwa,Eastern Province,36469,17116,19353
Mugunga,Southern Province,19963,9450,10513
Muhanda,Northern Province,31869,14678,17191
Muhanga,Eastern Province,387133,187357,199776
Muhazi,Western Province,53482,35163,18319
Muhima,City of Kigali,22531,12286,10245
Muhondo,Southern Province,21334,10296,11038
Muhororo,Northern Province,22273,10488,11785
Muhoza,Southern Province,69741,35311,34430
Muhura,Western Province,33325,16046,17279
Mukama,Western Province,25659,12341,13318
Mukamira,Northern Province,33013,15496,17517
Mukarange,Southern Province,18543,8831,9712
Mukarange,Western Province,54818,26744,28074
Mukindo,Eastern Province,32393,15621,16772
Mukingo,Eastern Province,45708,25312,20396
Muko,Southern Province,46522,22152,24370
Mukura,Eastern Province,26340,12302,14038
Mukura,Northern Province,38627,18167,20460
Munini,Eastern Province,19760,9642,10118
Munyaga,Western Province,20812,9803,11009
Munyiginya,Western Province,24197,11497,12700
Murama,Western Province,50083,23855,26228
Murambi,Northern Province,22374,10484,11890
Murambi,Southern Province,27283,13293,13990
Murambi,Western Province,38498,18436,20062
Muringa,Northern Province,22599,10606,11993
Murunda,Northern Province,23401,11306,12095
Murundi,Northern Province,27236,12909,14327
Murundi,Western Province,57809,28357,29452
Mururu,Northern Province,29774,14488,15286
Musambira,Eastern Province,42198,20013,22185
Musange,Eastern Province,20345,9885,10460
Musanze,Southern Province,524242,249818,274424
Musasa,Northern Province,25716,12321,13395
Musaza,Western Province,30095,14355,15740
Musebeya,Eastern Province,20416,9551,10865
Musenyi,Western Province,40610,19542,21068
Musha,Eastern Province,28762,13856,14906
Musha,Western Province,27525,13209,14316
Musheri,Western Province,37343,18268,19075
Mushikiri,Western Province,32841,15833,17008
Mushishiro,Eastern Province,21071,9909,11162
Mushonyi,Northern Province,24085,11331,12754
Mushubati,Northern Province,31539,15002,16537
Mushubi,Eastern Province,13972,6524,7448
Mutenderi,Western Province,24915,11870,13045
Mutete,Southern Province,27517,12960,14557
Mutuntu,Northern Province,25652,12237,13415
Muyira,Eastern Province,42041,20085,21956
Muyongwe,Southern Province,16053,7461,8592
Muyumbu,Western Province,56881,27582,29299
